City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,smithers,54.7804,-127.1743,280.33,57,75,5.14,CA,1711593623
334,douglas,41.3,-96.167,276.11,65,0,2.06,US,1711593623
335,shahkot,31.0775,75.3372,300.28,31,92,3.56,IN,1711593624
336,cestos city,5.46,-9.5828,299.77,89,62,2.29,LR,1711593624
337,berdigestyakh,62.0989,126.6992,258.51,92,100,4.59,RU,1711593624
338,chernyshevsk,52.5243,117.0174,270.52,47,100,9.02,RU,1711593624
339,xiaolingwei,32.0333,118.85,286.14,73,100,4.43,CN,1711593624
340,thunder bay,48.4001,-89.3168,265.14,86,100,3.6,CA,1711593392
341,newman,37.3138,-121.0208,288.28,87,100,1.34,US,1711593625
342,lebork,54.5392,17.7501,283.95,61,61,5.3,PL,1711593427
343,st. john's,47.5649,-52.7093,274.9,56,100,3.6,CA,1711593487
344,greenwood,34.1668,-82.1165,286.49,61,75,1.54,US,1711593625
345,sisimiut,66.9395,-53.6735,259.75,93,76,3.09,GL,1711593625
346,chernyshevskiy,63.0128,112.4714,255.86,85,62,1.73,RU,1711593625
347,le port,-20.9373,55.2919,297.15,76,100,1.49,RE,1711593626
348,bogotol,56.2078,89.5342,272.39,99,100,1.06,RU,1711593626
349,copala,16.65,-98.9833,295.39,74,10,0.63,MX,1711593626
350,kelibia,36.8476,11.0939,284.29,76,20,1.03,TN,1711593626
351,tateyama,34.9833,139.8667,286.54,65,100,6.94,JP,1711593626
352,ashland,40.8167,-82.2665,275.43,93,4,2.15,US,1711593357
353,yekaterinoslavka,50.3734,129.1139,274.17,100,100,9.71,RU,1711593627
354,rabaul,-4.1967,152.1721,302.48,74,100,4.85,PG,1711593627
355,choyr,46.3611,108.3611,270.55,51,100,7.89,MN,1711593627
356,cabo san lucas,22.8909,-109.9124,297.32,43,0,3.6,MX,1711593627
357,prado,-17.3411,-39.2208,298.11,88,66,1.79,BR,1711593627
358,farasan,16.7022,42.1183,300.99,70,0,1.31,SA,1711593627
359,luderitz,-26.6481,15.1594,288.19,88,0,6.13,NA,1711593627
360,atafu village,-8.5421,-172.5159,302.31,68,14,1.68,TK,1711593628
361,labrador city,52.9463,-66.9114,274.1,85,100,4.63,CA,1711593628
